linetype	xmin	xmax	key	showSelectedlegendlinetype	showSelected1	showSelected2	PANEL	group
1	43448.817	43449.759	43448817 43449759	false positive	-5	-Inf	1	2
1	43449.894	43451.105	43449894 43451105	false positive	-5	-Inf	1	4
1	43451.457	43455.122	43451457 43455122	false positive	-5	-Inf	1	6
1	43448.817	43449.759	43448817 43449759	false positive	-5	-3.5987564321254	1	2
0	43449.894	43451.105	43449894 43451105	correct	-5	-3.5987564321254	1	3
0	43451.457	43455.122	43451457 43455122	correct	-5	-3.5987564321254	1	5
1	43448.817	43449.759	43448817 43449759	false positive	-5	-2.87110214393305	1	2
0	43449.894	43451.105	43449894 43451105	correct	-5	-2.87110214393305	1	3
0	43451.457	43455.122	43451457 43455122	correct	-5	-2.87110214393305	1	5
1	43448.817	43449.759	43448817 43449759	false positive	-5	-2.524465240576	1	2
0	43449.894	43451.105	43449894 43451105	correct	-5	-2.524465240576	1	3
0	43451.457	43455.122	43451457 43455122	correct	-5	-2.524465240576	1	5
1	43448.817	43449.759	43448817 43449759	false positive	-5	-1.7250450381836	1	2
0	43449.894	43451.105	43449894 43451105	correct	-5	-1.7250450381836	1	3
0	43451.457	43455.122	43451457 43455122	correct	-5	-1.7250450381836	1	5
0	43448.817	43449.759	43448817 43449759	correct	-5	-0.0126575242852369	1	1
0	43449.894	43451.105	43449894 43451105	correct	-5	-0.0126575242852369	1	3
0	43451.457	43455.122	43451457 43455122	correct	-5	-0.0126575242852369	1	5
0	43448.817	43449.759	43448817 43449759	correct	-5	1.26988692973461	1	1
0	43449.894	43451.105	43449894 43451105	correct	-5	1.26988692973461	1	3
0	43451.457	43455.122	43451457 43455122	correct	-5	1.26988692973461	1	5
0	43448.817	43449.759	43448817 43449759	correct	-5	1.71885391825865	1	1
0	43449.894	43451.105	43449894 43451105	correct	-5	1.71885391825865	1	3
0	43451.457	43455.122	43451457 43455122	correct	-5	1.71885391825865	1	5
0	43448.817	43449.759	43448817 43449759	correct	-5	2.20830916989523	1	1
0	43449.894	43451.105	43449894 43451105	correct	-5	2.20830916989523	1	3
0	43451.457	43455.122	43451457 43455122	correct	-5	2.20830916989523	1	5
0	43448.817	43449.759	43448817 43449759	correct	-5	2.92562278092917	1	1
0	43449.894	43451.105	43449894 43451105	correct	-5	2.92562278092917	1	3
0	43451.457	43455.122	43451457 43455122	correct	-5	2.92562278092917	1	5
0	43448.817	43449.759	43448817 43449759	correct	-5	3.95283511716953	1	1
0	43449.894	43451.105	43449894 43451105	correct	-5	3.95283511716953	1	3
0	43451.457	43455.122	43451457 43455122	correct	-5	3.95283511716953	1	5
0	43448.817	43449.759	43448817 43449759	correct	-5	5.45202555736225	1	1
0	43449.894	43451.105	43449894 43451105	correct	-5	5.45202555736225	1	3
0	43451.457	43455.122	43451457 43455122	correct	-5	5.45202555736225	1	5
0	43448.817	43449.759	43448817 43449759	correct	-5	Inf	1	1
0	43449.894	43451.105	43449894 43451105	correct	-5	Inf	1	3
0	43451.457	43455.122	43451457 43455122	correct	-5	Inf	1	5
1	43448.817	43449.759	43448817 43449759	false positive	-4.8	-Inf	1	2
1	43449.894	43451.105	43449894 43451105	false positive	-4.8	-Inf	1	4
1	43451.457	43455.122	43451457 43455122	false positive	-4.8	-Inf	1	6
1	43448.817	43449.759	43448817 43449759	false positive	-4.8	-3.5987564321254	1	2
0	43449.894	43451.105	43449894 43451105	correct	-4.8	-3.5987564321254	1	3
0	43451.457	43455.122	43451457 43455122	correct	-4.8	-3.5987564321254	1	5
1	43448.817	43449.759	43448817 43449759	false positive	-4.8	-2.87110214393305	1	2
0	43449.894	43451.105	43449894 43451105	correct	-4.8	-2.87110214393305	1	3
0	43451.457	43455.122	43451457 43455122	correct	-4.8	-2.87110214393305	1	5
1	43448.817	43449.759	43448817 43449759	false positive	-4.8	-2.524465240576	1	2
0	43449.894	43451.105	43449894 43451105	correct	-4.8	-2.524465240576	1	3
0	43451.457	43455.122	43451457 43455122	correct	-4.8	-2.524465240576	1	5
